Age,Gender,Income,NumWebsiteVisits,NumProductsViewed,LoyaltyMember,PreferredChannel,PastMonthPurchase,CustomerLifetimeValue
30,Male,195969,1,67,Yes,Phone,4377.690353895385,5576.224419289557
51,Female,164714,18,91,No,Email,3071.2334809940035,2903.6990370468766
62,Female,58129,40,40,Yes,Email,6964.716897294423,3800.8531481708715
29,Male,110103,39,34,No,Email,1191.7447685279203,1590.1968432342528
61,Female,67645,36,46,Yes,SMS,7074.965983213903,7166.162805110071
65,Male,102453,17,42,No,App,252.20209048384513,0.0
58,Male,138443,43,89,Yes,SMS,1976.2661425138394,4984.40593984909
68,Female,143502,33,41,Yes,App,5902.431913885811,3826.5908058260984
50,Male,59933,34,56,Yes,App,9866.73513117454,6128.195557102803
47,Male,101875,28,57,Yes,App,2866.3781760086326,3533.1966301087996
68,Female,189051,41,32,Yes,App,2885.4178552298295,2362.5303586189884
18,Female,102375,36,86,No,Email,630.6333758782146,2163.212141226629
39,Male,62494,32,86,No,Email,8599.055026850865,2950.275229407771
59,Female,31038,25,55,Yes,Email,8935.705493156078,3560.3955873402774
39,Female,37886,31,61,Yes,App,3503.6322462184944,4612.981798852807
40,Male,48025,26,89,Yes,App,5595.60848208357,4008.514920189744
53,Female,76642,15,63,No,App,6313.304264632798,1837.4564026012806
28,Male,172413,39,66,Yes,Phone,9402.05795401136,7078.4823895637455
37,Female,11586,43,62,Yes,SMS,7483.45632233826,6707.559108341798
48,Male,62674,42,35,No,App,3434.946688861168,1000.1493159114037
53,Male,39101,5,33,No,Email,8384.66361722053,3469.426594238631
39,Male,163919,4,43,No,SMS,4142.526203039168,3675.220811294027
62,Female,134434,21,72,Yes,Email,342.93965525062254,3319.438168866233
49,Female,72642,14,20,No,SMS,2343.0146954716147,1350.9075220533769
49,Female,86895,40,91,No,App,9471.125324424404,3475.305321177501
20,Female,14092,24,51,No,SMS,3175.3104004432885,3502.7889704963886
27,Female,126605,13,66,No,Email,4322.750817289008,2146.7536922151758
48,Male,32568,8,76,No,Email,9121.12389891491,5215.538779932259
25,Male,144655,34,29,No,Email,7402.832762930658,3467.0499681615242
48,Female,20815,40,11,Yes,App,4867.420889694072,5057.515819304423
35,Female,198065,12,6,No,Email,9853.892477460931,2423.2196885931103
21,Female,184791,6,63,Yes,Phone,4052.8332107486754,4787.953797847523
68,Female,100162,15,48,No,Phone,1527.1094676913187,231.81231319703966
22,Female,102904,18,4,No,Phone,8590.981438684248,2176.0219785280665
34,Female,55446,29,64,Yes,SMS,662.4430287197303,3810.404280027391
68,Female,16900,18,94,No,SMS,7590.0423064018605,4437.955947083969
63,Male,183091,43,75,Yes,Email,7101.426949031245,5519.896918949524
36,Female,35455,37,59,No,SMS,182.9808460515936,399.13728030281345
33,Male,95158,16,55,Yes,Phone,964.1674298231873,2922.616488554135
37,Female,55658,20,5,No,Phone,322.069115187974,0.0
55,Female,159479,8,96,No,SMS,5522.6465923503565,5350.430526743586
39,Female,150909,11,40,No,SMS,6971.640174441296,2951.520024270777
43,Female,59432,3,93,Yes,Phone,2152.4420933392585,4848.0334527846435
46,Male,33970,25,27,No,Phone,263.1659502757866,586.9186382920518
59,Male,63463,30,6,No,SMS,2096.7412411429086,1222.9688909712647
43,Male,149254,31,24,No,App,5598.920855942515,3427.1835258556703
34,Female,198316,2,11,Yes,App,1390.7635326863056,644.405371927739
56,Female,187958,14,57,No,Email,543.9652977647846,2697.4315856371422
49,Male,52319,33,98,No,Email,6008.890420763541,1583.7756715437954
41,Male,42876,27,27,Yes,Email,6833.753069295482,6857.042625689637
27,Female,175662,11,53,Yes,SMS,2256.5264337579238,3155.021512597942
51,Female,58990,45,73,Yes,App,6221.389135188252,5661.859790040889
18,Female,97410,4,15,Yes,App,322.0492126337149,3364.798417043842
27,Male,132903,23,31,No,App,5876.534913328953,3396.871666617295
46,Female,31410,25,87,Yes,App,3498.0874632267523,5245.045962482862
50,Female,59288,37,78,No,App,9541.11526161015,2723.03242334224
21,Male,84338,13,65,No,Phone,6642.86710582412,4026.9584295563327
57,Female,12364,41,15,No,Email,5049.801728594442,1313.1617662819594
25,Male,198524,28,62,Yes,App,5039.152474838183,6250.818828058994
31,Male,118554,34,69,Yes,App,8783.661792808849,7647.300643597003
63,Male,143271,11,23,No,SMS,8559.868962953999,3820.8740162473923
69,Male,117264,13,5,No,App,2784.4272460666366,0.0
40,Male,155836,28,42,Yes,SMS,1183.2622267845816,4157.059353821952
63,Male,88366,23,95,Yes,App,7597.784221562663,5981.950315019554
52,Female,178787,26,53,Yes,App,4303.287403366624,5523.020903781032
62,Female,117102,15,20,No,SMS,1825.4338259312465,1350.09491254953
61,Female,57263,37,31,Yes,Email,9315.23855386122,4749.727349348293
35,Male,79106,34,33,Yes,Phone,7894.601991490151,5092.999727220075
20,Male,36869,37,1,No,App,3053.376307441673,1462.8993713303103
35,Male,94761,26,89,No,Email,2946.789610755651,1966.9033566070598
66,Female,69453,45,65,No,SMS,2567.914537799053,2627.7528338051525
56,Female,76930,12,28,No,SMS,2042.5954075315178,396.4682057078612
29,Female,38557,42,15,No,Phone,7175.517039853968,971.9895998924735
23,Male,46724,3,57,No,Phone,1963.3980795550076,3939.8834096537935
34,Male,158315,9,70,No,App,7268.425869555029,1566.1924874070219
32,Male,42576,31,88,Yes,SMS,5727.1180109613215,5822.583313253464
20,Female,150474,44,22,No,App,7363.51794228828,2772.8687838887367
44,Female,191449,43,47,No,Email,7940.006608324694,5042.618495310401
50,Male,131383,15,6,No,Phone,4627.829642819663,1596.6092451597945
63,Female,126559,18,42,Yes,App,9405.645368481524,5842.64927753013
68,Male,67910,8,33,Yes,Phone,4478.071600535667,3630.160518267071
